1,0,3
3,0,1
4,2,3
3,2,2
6,0,1
8,0,2
3,0,3
9,0,3
8,0,3
10,0,2
15,0,2
16,0,3
9,0,2
17,0,3
18,0,2
6,0,3
21,2,3
1,0,3
6,0,3
26,2,3
3,1,2
28,1,3
29,1,3
28,1,3
9,1,3
31,1,2
32,1,3
33,1,3
34,1,3
20,1,2
13,1,3
36,1,3
38,1,2
29,1,3
25,1,3
42,2,3
4,2,3
31,2,3
28,1,3
1,1,2
3,0,3
44,0,3
35,0,2
39,0,3
47,0,2
12,0,3
49,0,3
41,0,2
27,0,3
3,0,3
28,0,1
10,0,3
51,0,2
52,0,3
54,0,2
27,0,3
11,0,3
13,2,3
44,2,3
34,2,3
13,2,3
7,2,3
58,2,3
3,2,2
8,2,3
28,1,3
61,1,3
62,0,3
63,1,2
64,1,3
64,1,3
43,1,2
21,1,3
67,1,3
68,1,3
69,2,2
27,2,2
21,1,2
73,1,2
7,1,3
1,1,3
62,1,3
14,1,3
18,1,2
18,1,3
75,1,3
14,1,3
14,0,2
3,0,3
77,0,3
78,0,2
79,0,3
56,0,3
14,0,2
61,0,3
65,0,3
14,1,3
0,0,2
41,0,1
67,0,2
81,0,1
61,0,3
13,0,3
7,0,2
19,0,3
25,2,1
85,0,1
3,1,3
29,1,3
25,1,3
86,2,3
5,2,3
87,1,2
7,1,3
3,1,3
25,1,3
56,1,2
79,1,2
21,1,3
88,0,2
11,1,3
71,1,3
74,0,2
31,2,2
5,0,2
85,0,3
1,0,1
36,0,2
44,0,3
26,0,2
13,0,3
49,2,2
18,0,2
92,0,3
7,2,3
18,1,2
61,1,3
3,0,3
94,0,3
93,0,2
44,0,3
5,0,3
81,0,3
36,0,1
21,1,3
41,1,2
22,1,3
27,0,2
12,2,3
77,1,3
78,1,3
21,1,2
49,2,3
10,2,3
1,0,2
13,0,3
4,1,3
96,1,3
14,1,2
98,1,3
7,1,3
35,2,3
81,2,2
34,1,3
20,1,2
0,0,3
18,0,3
13,0,2
26,0,1
40,0,3
101,0,2
25,0,2
88,0,2
102,0,3
27,0,1
41,0,3
97,0,1
66,0,2
28,0,2
104,0,2
14,1,3
76,0,2
24,0,1
87,0,2
31,0,2
12,0,3
19,0,1
101,0,2
19,0,2
34,0,1
10,0,3
44,0,3
43,0,2
7,0,3
22,0,3
28,0,1
44,0,1
77,2,3
27,0,3
48,0,3
30,0,2
43,2,2
38,2,2
19,2,3
100,2,3
25,2,3
52,0,2
17,0,2
106,2,2
6,1,2
6,1,2
15,1,3
50,1,3
52,1,3
105,1,3
41,1,3
19,0,3
85,0,3
41,0,3
32,0,3
9,1,3
48,0,1
67,2,3
18,1,2
10,0,3
20,0,2
3,0,3
29,0,3
68,0,1
70,0,3
52,0,3
63,0,3
20,0,3
13,0,2
94,1,3
80,0,3
20,0,2
67,0,2
26,0,1
49,0,2
25,0,3
7,0,1
1,0,2
66,0,2
9,0,3
24,0,2
21,0,1
28,0,3
13,0,2
95,0,1
21,0,3
8,0,3
41,2,3
112,2,2
11,2,3
63,2,2
81,2,3
29,2,3
1,0,1
34,1,1
28,1,3
28,1,1
20,1,3
113,2,2
114,1,3
80,1,2
4,1,3
32,1,2
96,1,3
28,1,3
71,1,2
26,1,3
49,0,3
3,0,2
22,1,2
1,0,2
40,2,2
67,0,3
59,0,2
115,0,3
109,0,2
19,0,3
109,0,3
113,0,3
38,0,2
31,0,2
106,0,1
42,0,3
25,0,1
